,,,,,,Round (Common rounds are highlighted in grey),30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
407,question,Q33,,ECB,,,How do you see the main risk to the outlook for inflation in five years’ time?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,answer,Q33,1,ECB,,,- A risk to the downside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,answer def.,Q33,1,ECB,,,the main risk is that inflation will be lower than you expect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,answer,Q33,2,ECB,,,- Risks are broadly balanced ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,answer def.,Q33,2,ECB,,,inflation will very likely be broadly in line with your expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,answer,Q33,3,ECB,,,- A risk to the upside ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,answer def.,Q33,3,ECB,,,the main risk is that inflation will be higher than you expect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,answer,Q33,9,ECB,,,- DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,question,Q1,,EC,,,,Q1. During the past 12 months have you introduced...?,,Q1. During the past 12 months have you introduced...?,,Q1. During the past 12 months have you introduced...?,,Q1. During the past 12 months have you introduced...?,,Q1. During the past 12 months have you introduced...?,,Q1. During the past 12 months have you introduced...?,,Q1. During the past 12 months have you introduced...?,,Q1. During the past 12 months have you introduced...?,,Q1. During the past 12 months have you introduced...?,,Q1. During the past 12 months have you introduced...?,,Q1. During the past 12 months have you introduced...?,,,,Q1. During the past 12 months have you introduced...?,,,,Q1. During the past 12 months have you introduced...?
416,answer,Q1,1,EC,,,,- Yes,,- Yes,,- Yes,,- Yes,,- Yes,,- Yes,,- Yes,,- Yes,,- Yes,,- Yes,,- Yes,,,,- Yes,,,,- Yes
417,answer,Q1,2,EC,,,,- No,,- No,,- No,,- No,,- No,,- No,,- No,,- No,,- No,,- No,,- No,,,,- No,,,,- No
418,answer,Q1,9,EC,,,,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,,,- [DK/NA],,,,- [DK/NA]
419,item,Q1_a,,EC,,,,… a new or significantly improved product or service to the market,,… a new or significantly improved product or service to the market,,… a new or significantly improved product or service to the market,,… a new or significantly improved product or service to the market,,… a new or significantly improved product or service to the market,,… a new or significantly improved product or service to the market,,… a new or significantly improved product or service to the market,,… a new or significantly improved product or service to the market,,… a new or significantly improved product or service to the market,,… a new or significantly improved product or service to the market,,… a new or significantly improved product or service to the market,,,,… a new or significantly improved product or service to the market,,,,… a new or significantly improved product or service to the market
420,item,Q1_b,,EC,,,,… a new or significantly improved production process or method,,… a new or significantly improved production process or method,,… a new or significantly improved production process or method,,… a new or significantly improved production process or method,,… a new or significantly improved production process or method,,… a new or significantly improved production process or method,,… a new or significantly improved production process or method,,… a new or significantly improved production process or method,,… a new or significantly improved production process or method,,… a new or significantly improved production process or method,,… a new or significantly improved production process or method,,,,… a new or significantly improved production process or method,,,,… a new or significantly improved production process or method
421,item def.,Q1_b,,EC,,,,not applicable if the enterprise does not produce anything,,not applicable if the enterprise does not produce anything,,not applicable if the enterprise does not produce anything,,not applicable if the enterprise does not produce anything,,not applicable if the enterprise does not produce anything,,not applicable if the enterprise does not produce anything,,not applicable if the enterprise does not produce anything,,not applicable if the enterprise does not produce anything,,not applicable if the enterprise does not produce anything,,,,,,,,,,,,
422,item,Q1_c,,EC,,,,… a new organisation of management,,… a new organisation of management,,… a new organisation of management,,… a new organisation of management,,… a new organisation of management,,… a new organisation of management,,… a new organisation of management,,… a new organisation of management,,… a new organisation of management,,… a new organisation of management,,… a new organisation of management,,,,… a new organisation of management,,,,… a new organisation of management
423,item def.,Q1_c,,EC,,,,"for example, re-organisation of different parts of the enterprise or reporting hierarchy to increase efficiency or reduce costs",,"for example, re-organisation of different parts of the enterprise or reporting hierarchy to increase efficiency or reduce costs",,"for example, re-organisation of different parts of the enterprise or reporting hierarchy to increase efficiency or reduce costs",,"for example, re-organisation of different parts of the enterprise or reporting hierarchy to increase efficiency or reduce costs",,"for example, re-organisation of different parts of the enterprise or reporting hierarchy to increase efficiency or reduce costs",,"for example, re-organisation of different parts of the enterprise or reporting hierarchy to increase efficiency or reduce costs",,"for example, re-organisation of different parts of the enterprise or reporting hierarchy to increase efficiency or reduce costs",,"for example, re-organisation of different parts of the enterprise or reporting hierarchy to increase efficiency or reduce costs",,"for example, re-organisation of different parts of the enterprise or reporting hierarchy to increase efficiency or reduce costs",,,,,,,,,,,,
424,item,Q1_d,,EC,,,,… a new way of selling your goods or services,,… a new way of selling your goods or services,,… a new way of selling your goods or services,,… a new way of selling your goods or services,,… a new way of selling your goods or services,,… a new way of selling your goods or services,,… a new way of selling your goods or services,,… a new way of selling your goods or services,,… a new way of selling your goods or services,,… a new way of selling your goods or services,,… a new way of selling your goods or services,,,,… a new way of selling your goods or services,,,,… a new way of selling your goods or services
425,question,Q12,,EC,,Question Q12 on loan size was included in the questionnaire only every two years and asked about the size of the last loan obtained in the last two years. It was replaced by question Q8A in round 2014H1. See the note to Q8A on its comparability to the new question Q8A.,,,,,,,,,,,,,,,,,,,,,,"Q12. What is the size of the last loan, of any kind, that your firm has obtained in the last two years?",,,,"Q12. What is the size of the last loan, of any kind, that your firm has obtained in the last two years?",,,,"Q12. What is the size of the last loan, of any kind, that your firm has obtained in the last two years?"
426,answer,Q12,1,EC,,,,,,,,,,,,,,,,,,,,,,,,- We did not take a loan,,,,- We did not take a loan,,,,- We did not take a loan
427,answer,Q12,2,EC,,,,,,,,,,,,,,,,,,,,,,,,"- Smaller than €25,000",,,,"- Smaller than €25,000",,,,- Smaller than 25 000 euro
428,answer,Q12,3,EC,,,,,,,,,,,,,,,,,,,,,,,,"- €25,000- €99,999",,,,"- €25,000- €99,999",,,,- 25 000-100 000 euro
429,answer,Q12,4,EC,,"In round 2013H1, category “€100,000 - €1 million” was split into “€100,000 - €249,999” and “€250,000 - €1 million” in questions Q12 and Q21.",,,,,,,,,,,,,,,,,,,,,,,,,,"- €100,000 - €1 million",,,,- 100 000 – 1 000 000 euro
430,answer,Q12,6,EC,,,,,,,,,,,,,,,,,,,,,,,,"- €100,000 - €249,999",,,,,,,,
431,answer,Q12,7,EC,,,,,,,,,,,,,,,,,,,,,,,,"- €250,000 - €1 million",,,,,,,,
432,answer,Q12,5,EC,,,,,,,,,,,,,,,,,,,,,,,,- Over €1 million,,,,- Over €1 million,,,,- Over one million euro
433,answer,Q12,9,EC,,,,,,,,,,,,,,,,,,,,,,,,- [DK/NA],,,,- [DK/NA],,,,- [DK/NA]
434,question,Q13,,EC,,"Question Q13 on the provider of the last loan (bank, private individual, other) was removed from the questionnaire, given that similar information can be obtained from question Q4 on relevant and recently used financing instruments.",,,,,,,,,,,,,,,,,,,,,,Q13. Who provided you with this last loan?,,,,Q13. Who provided you with this last loan?,,,,Q13. Who provided you this last loan?
435,answer,Q13,1,EC,,,,,,,,,,,,,,,,,,,,,,,,- Bank,,,,- Bank,,,,- Bank
436,answer,Q13,2,EC,,,,,,,,,,,,,,,,,,,,,,,,- Private individual - family or friend,,,,- Private individual - family or friend,,,,- Private individual - family or friend
437,answer,Q13,3,EC,,,,,,,,,,,,,,,,,,,,,,,,"- Other sources (e.g. microfinance institutions, government-related sources)",,,,"- Other sources (e.g. microfinance institutions, government-related sources)",,,,"- Other sources (e.g. microfinance institutions, government-related sources)"
438,answer,Q13,9,EC,,,,,,,,,,,,,,,,,,,,,,,,- [DK/NA],,,,- [DK/NA],,,,- [DK/NA]
439,question,Q14,,EC,,Question removed in round 2014H1. See the note to Q6A.,,,,,,,,,,,,,,,,,,,,,,Q14. What did you use this last loan for?,,,,Q14. What did you use this last loan for?,,,,Q14. What did you use this last loan for?
440,answer,Q14,1,EC,,,,,,,,,,,,,,,,,,,,,,,,- Working capital,,,,- Working capital,,,,- Working capital
441,answer,Q14,2,EC,,,,,,,,,,,,,,,,,,,,,,,,- Land/ buildings or Equipment/vehicles,,,,- Land/ buildings or Equipment/vehicles,,,,- Land/ buildings or Equipment/vehicles
442,answer,Q14,3,EC,,,,,,,,,,,,,,,,,,,,,,,,- Research and development or intellectual property,,,,- Research and development or intellectual property,,,,- Research and development or intellectual property
443,answer,Q14,4,EC,,,,,,,,,,,,,,,,,,,,,,,,- Promotion,,,,- Promotion,,,,- Promotion
444,answer,Q14,5,EC,,,,,,,,,,,,,,,,,,,,,,,,- Staff training,,,,- Staff training,,,,- Staff training
445,answer,Q14,6,EC,,,,,,,,,,,,,,,,,,,,,,,,- Buying another business,,,,- Buying another business,,,,- Buying another business
446,answer,Q14,7,EC,,,,,,,,,,,,,,,,,,,,,,,,- Other,,,,- Other,,,,- Other
447,answer,Q14,9,EC,,,,,,,,,,,,,,,,,,,,,,,,- [DK/NA],,,,- [DK/NA],,,,- [DK/NA]
448,question,Q16,,EC,,,,"Q16. Over the last three years (<year> - <year>), how much did your firm grow on average per year …?",,"Q16. Over the last three years (<year> - <year>), how much did your firm grow on average per year …?",,"Q16. Over the last three years (<year> - <year>), how much did your firm grow on average per year …?",,"Q16. Over the last three years (<year> - <year>), how much did your firm grow on average per year …?",,"Q16. Over the last three years (<year> - <year>), how much did your firm grow on average per year …?",,"Q16. Over the last three years (<year> - <year>), how much did your firm grow on average per year …?",,"Q16. Over the last three years (<year> - <year>), how much did your firm grow on average per year …?",,"Q16. Over the last three years (<year> - <year>), how much did your firm grow on average per year …?",,"Q16. Over the last three years (<year> - <year>), how much did your firm grow on average per year …?",,"Q16. Over the last three years (<year> - <year>), how much did your firm grow on average per year …?",,"Q16. Over the last three years (<year> - <year>), how much did your firm grow on average per year …?",,,,"Q16. Over the last three years, how much did your firm grow on average per year …?",,,,"Q16. Over the last three years, how much did your firm grow on average per year …?"
449,answer,Q16,1,EC,,,,- Over 20% per year,,- Over 20% per year,,- Over 20% per year,,- Over 20% per year,,- Over 20% per year,,- Over 20% per year,,- Over 20% per year,,- Over 20% per year,,- Over 20% per year,,- Over 20% per year,,- Over 20% per year,,,,- Over 20% per year,,,,- Over 20% per year
450,answer,Q16,2,EC,,,,- Less than 20% per year,,- Less than 20% per year,,- Less than 20% per year,,- Less than 20% per year,,- Less than 20% per year,,- Less than 20% per year,,- Less than 20% per year,,- Less than 20% per year,,- Less than 20% per year,,- Less than 20% per year,,- Less than 20% per year,,,,- Less than 20% per year,,,,- Less than 20% per year
451,answer,Q16,3,EC,,,,- No growth,,- No growth,,- No growth,,- No growth,,- No growth,,- No growth,,- No growth,,- No growth,,- No growth,,- No growth,,- No growth,,,,- No growth,,,,- No growth
452,answer,Q16,4,EC,,,,- Got smaller,,- Got smaller,,- Got smaller,,- Got smaller,,- Got smaller,,- Got smaller,,- Got smaller,,- Got smaller,,- Got smaller,,- Got smaller,,- Got smaller,,,,- Got smaller,,,,- Got smaller
453,answer,Q16,7,EC,,,,"- [NOT APPLICABLE, THE ENTERPRISE IS TOO RECENT] ",,"- [NOT APPLICABLE, THE ENTERPRISE IS TOO RECENT] ",,"- [NOT APPLICABLE, THE ENTERPRISE IS TOO RECENT] ",,"- [NOT APPLICABLE, THE ENTERPRISE IS TOO RECENT] ",,"- [NOT APPLICABLE, THE ENTERPRISE IS TOO RECENT] ",,"- [NOT APPLICABLE, THE ENTERPRISE IS TOO RECENT] ",,"- [NOT APPLICABLE, THE ENTERPRISE IS TOO RECENT] ",,"- [NOT APPLICABLE, THE ENTERPRISE IS TOO RECENT] ",,"- [NOT APPLICABLE, THE ENTERPRISE IS TOO RECENT] ",,-[NOT APPLICABLE],,-[NOT APPLICABLE],,,,-[NOT APPLICABLE],,,,-[NOT APPLICABLE]
454,answer,Q16,9,EC,,,,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,,,- [DK/NA],,,,-
455,item,Q16_a,,EC,,,,…in terms of employment regarding the number of full-time or full-time equivalent employees ?,,…in terms of employment regarding the number of full-time or full-time equivalent employees ?,,…in terms of employment regarding the number of full-time or full-time equivalent employees ?,,…in terms of employment regarding the number of full-time or full-time equivalent employees ?,,…in terms of employment regarding the number of full-time or full-time equivalent employees ?,,…in terms of employment regarding the number of full-time or full-time equivalent employees ?,,…in terms of employment regarding the number of full-time or full-time equivalent employees ?,,…in terms of employment regarding the number of full-time or full-time equivalent employees ?,,…in terms of employment regarding the number of full-time or full-time equivalent employees ?,,…in terms of employment regarding the number of full-time or full-time equivalent employees ?,,…in terms of employment regarding the number of full-time or full-time equivalent employees ?,,,,…in terms of employment regarding the number of full-time or full-time equivalent employees ?,,,,…in terms of employment regarding the number of full-time or full-time equivalent employees ?
456,item,Q16_b,,EC,,,,…and in terms of turnover?,,…and in terms of turnover?,,…and in terms of turnover?,,…and in terms of turnover?,,…and in terms of turnover?,,…and in terms of turnover?,,…and in terms of turnover?,,…and in terms of turnover?,,…and in terms of turnover?,,…and in terms of turnover?,,…and in terms of turnover?,,,,…and in terms of turnover?,,,,…and in terms of turnover?
457,question,Q17,,EC,,,,"Q17. Considering the turnover over the next two to three years (<year> - <year>), how much does your company expect to grow per year?",,"Q17. Considering the turnover over the next two to three years (<year> - <year>), how much does your company expect to grow per year?",,"Q17. Considering the turnover over the next two to three years (<year> - <year>), how much does your company expect to grow per year?",,"Q17. Considering the turnover over the next two to three years (<year> - <year>), how much does your company expect to grow per year?",,"Q17. Considering the turnover over the next two to three years (<year> - <year>), how much does your company expect to grow per year?",,"Q17. Considering the turnover over the next two to three years (<year> - <year>), how much does your company expect to grow per year?",,"Q17. Considering the turnover over the next two to three years (<year> - <year>), how much does your company expect to grow per year?",,"Q17. Considering the turnover over the next two to three years (<year> - <year>), how much does your company expect to grow per year?",,"Q17. Considering the turnover over the next two to three years (<year> - <year>), how much does your company expect to grow per year?",,"Q17. Considering the turnover over the next two to three years (<year> - <year>), how much does your company expect to grow per year?",,"Q17. Considering the turnover over the next two to three years (<year> - <year>), how much does your company expect to grow per year?",,,,"Q17. Considering the turnover over the next two to three years, how much does your company expect to grow?",,,,"Q17. Considering the turnover over the next two to three years, how much does your company expect to grow?"
458,answer,Q17,1,EC,,,,- Grow substantially – over 20% per year in terms of turnover,,- Grow substantially – over 20% per year in terms of turnover,,- Grow substantially – over 20% per year in terms of turnover,,- Grow substantially – over 20% per year in terms of turnover,,- Grow substantially – over 20% per year in terms of turnover,,- Grow substantially – over 20% per year in terms of turnover,,- Grow substantially – over 20% per year in terms of turnover,,- Grow substantially – over 20% per year in terms of turnover,,- Grow substantially – over 20% per year in terms of turnover,,- Grow substantially – over 20% per year in terms of turnover,,- Grow substantially - over 20% per year in terms of turnover,,,,- Grow substantially - over 20% per year in terms of turnover,,,,- Grow substantially - over 20% per year in terms of turnover
459,answer,Q17,2,EC,,,,- Grow moderately – below 20% per year in terms of turnover,,- Grow moderately – below 20% per year in terms of turnover,,- Grow moderately – below 20% per year in terms of turnover,,- Grow moderately – below 20% per year in terms of turnover,,- Grow moderately – below 20% per year in terms of turnover,,- Grow moderately – below 20% per year in terms of turnover,,- Grow moderately – below 20% per year in terms of turnover,,- Grow moderately – below 20% per year in terms of turnover,,- Grow moderately – below 20% per year in terms of turnover,,- Grow moderately – below 20% per year in terms of turnover,,- Grow moderately - below 20% per year in terms of turnover,,,,- Grow moderately - below 20% per year in terms of turnover,,,,- Grow moderately - below 20% per year in terms of turnover
460,answer,Q17,3,EC,,,,- Stay the same size,,- Stay the same size,,- Stay the same size,,- Stay the same size,,- Stay the same size,,- Stay the same size,,- Stay the same size,,- Stay the same size,,- Stay the same size,,- Stay the same size,,- Stay the same size,,,,- Stay the same size,,,,- Stay the same size
461,answer,Q17,4,EC,,,,- Become smaller,,- Become smaller,,- Become smaller,,- Become smaller,,- Become smaller,,- Become smaller,,- Become smaller,,- Become smaller,,- Become smaller,,- Become smaller,,- Become smaller,,,,- Become smaller,,,,- Become smaller
462,answer,Q17,9,EC,,,,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,,,- [DK/NA],,,,- [DK/NA]
463,question,Q19,,EC,,,,Q19. Do you feel confident talking about financing with banks and that you will obtain the desired results? And how about with equity investors/venture capital enterprises?,,Q19. Do you feel confident talking about financing with banks and that you will obtain the desired results? And how about with equity investors/venture capital enterprises?,,Q19. Do you feel confident talking about financing with banks and that you will obtain the desired results? And how about with equity investors/venture capital enterprises?,,Q19. Do you feel confident talking about financing with banks and that you will obtain the desired results? And how about with equity investors/venture capital enterprises?,,Q19. Do you feel confident talking about financing with banks and that you will obtain the desired results? And how about with equity investors/venture capital enterprises?,,Q19. Do you feel confident talking about financing with banks and that you will obtain the desired results? And how about with equity investors/venture capital enterprises?,,Q19. Do you feel confident talking about financing with banks and that you will obtain the desired results? And how about with equity investors/venture capital enterprises?,,Q19. Do you feel confident talking about financing with banks and that you will obtain the desired results? And how about with equity investors/venture capital enterprises?,,Q19. Do you feel confident talking about financing with banks and that you will obtain the desired results? And how about with equity investors/venture capital enterprises?,,Q19. Do you feel confident talking about financing with banks and that you will obtain the desired results? And how about with equity investors/venture capital enterprises?,,Q19. Do you feel confident to talk about financing with banks and to obtain the desired results? And how about equity investors/ venture capital firms?,,,,Q19. Do you feel confident to talk about financing with banks and to obtain the desired results? And how about equity investors/ venture capital firms?,,,,Q19. Do you feel confident to talk about financing with banks and to obtain the desired results? And how about equity investors/ venture capital firms?
464,answer,Q19,1,EC,,,,- Yes,,- Yes,,- Yes,,- Yes,,- Yes,,- Yes,,- Yes,,- Yes,,- Yes,,- Yes,,- Yes,,,,- Yes,,,,- Yes
465,answer,Q19,2,EC,,,,- No,,- No,,- No,,- No,,- No,,- No,,- No,,- No,,- No,,- No,,- No,,,,- No,,,,- No
466,answer,Q19,7,EC,,,,-[NOT APPLICABLE],,-[NOT APPLICABLE],,-[NOT APPLICABLE],,-[NOT APPLICABLE],,-[NOT APPLICABLE],,-[NOT APPLICABLE],,-[NOT APPLICABLE],,-[NOT APPLICABLE],,-[NOT APPLICABLE],,-[NOT APPLICABLE],,-[NOT APPLICABLE],,,,-[NOT APPLICABLE],,,,-[NOT APPLICABLE]
467,answer,Q19,9,EC,,,,- [DK],,- [DK],,- [DK],,- [DK],,- [DK],,- [DK],,- [DK],,- [DK],,- [DK],,- [DK],,- [DK],,,,- [DK],,,,- [DK]
468,item,Q19_a,,EC,,,,…with banks,,…with banks,,…with banks,,…with banks,,…with banks,,…with banks,,…with banks,,…with banks,,…with banks,,…with banks,,…with banks,,,,…with banks,,,,…with banks
469,item,Q19_b,,EC,,,,…with equity investors/venture capital enterprises,,…with equity investors/venture capital enterprises,,…with equity investors/venture capital enterprises,,…with equity investors/venture capital enterprises,,…with equity investors/venture capital enterprises,,…with equity investors/venture capital enterprises,,…with equity investors/venture capital enterprises,,…with equity investors/venture capital enterprises,,…with equity investors/venture capital enterprises,,…with equity investors/venture capital enterprises,,…with equity investors/venture capital firms,,,,…with equity investors/venture capital firms,,,,…with equity investors/venture capital firms
470,question,Q20,,EC,,,,"Q20. If you need external financing to realise your growth ambitions, what type of external financing would you prefer most?",,"Q20. If you need external financing to realise your growth ambitions, what type of external financing would you prefer most?",,"Q20. If you need external financing to realise your growth ambitions, what type of external financing would you prefer most?",,"Q20. If you need external financing to realise your growth ambitions, what type of external financing would you prefer most?",,"Q20. If you need external financing to realise your growth ambitions, what type of external financing would you prefer most?",,"Q20. If you need external financing to realise your growth ambitions, what type of external financing would you prefer most?",,"Q20. If you need external financing to realise your growth ambitions, what type of external financing would you prefer most?",,"Q20. If you need external financing to realise your growth ambitions, what type of external financing would you prefer most?",,"Q20. If you need external financing to realise your growth ambitions, what type of external financing would you prefer most?",,"Q20. If you need external financing to realise your growth ambitions, what type of external financing would you prefer most?",,"Q20. If you need external financing to realise your growth ambitions, what type of external financing would you prefer most?",,,,"Q20. If you need external financing to realise your growth ambitions, what type of external financing would you prefer most?",,,,"Q20. If you need external financing to realise your growth ambitions, what type of external financing would you prefer most?"
471,answer,Q20,1,EC,,,,- Bank loan,,- Bank loan,,- Bank loan,,- Bank loan,,- Bank loan,,- Bank loan,,- Bank loan,,- Bank loan,,- Bank loan,,- Bank loan,,- Bank loan,,,,- Bank loan,,,,- Bank loan
472,answer,Q20,2,EC,,,,"- Loan from other sources, for example, trade credit, related enterprise, shareholders, public sources",,"- Loan from other sources, for example, trade credit, related enterprise, shareholders, public sources",,"- Loan from other sources, for example, trade credit, related enterprise, shareholders, public sources",,"- Loan from other sources, for example, trade credit, related enterprise, shareholders, public sources",,"- Loan from other sources, for example, trade credit, related enterprise, shareholders, public sources",,"- Loan from other sources, for example, trade credit, related enterprise, shareholders, public sources",,"- Loan from other sources, for example, trade credit, related enterprise, shareholders, public sources",,"- Loan from other sources, for example, trade credit, related enterprise, shareholders, public sources",,"- Loan from other sources, for example, trade credit, related enterprise, shareholders, public sources",,"- Loan from other sources (FOR EXAMPLE, TRADE CREDIT, RELATED ENTERPRISE, SHAREHOLDERS, PUBLIC SOURCES)",,"- Loan from other sources (E.G. TRADE CREDIT, RELATED COMPANY, SHAREHOLDER, PUBLIC SOURCES)",,,,"- Loan from other sources (E.G. TRADE CREDIT, RELATED COMPANY, SHAREHOLDER, PUBLIC SOURCES)",,,,"- Loan from other sources (e.g. trade credit, related company, shareholder, public sources)"
473,answer,Q20,3,EC,,,,- Equity capital,,- Equity capital,,- Equity capital,,- Equity capital,,- Equity capital,,- Equity capital,,- Equity capital,,- Equity capital,,- Equity capital,,- Equity investment,,- Equity investment,,,,- Equity investment,,,,- Equity investment
474,answer def.,Q20,3,EC,,,,including venture capital or business angels,,including venture capital or business angels,,including venture capital or business angels,,including venture capital or business angels,,including venture capital or business angels,,including venture capital or business angels,,including venture capital or business angels,,including venture capital or business angels,,including venture capital or business angels,,"INCLUDING PREFERRED SHARES, VENTURE CAPITAL OR BUSINESS ANGELS",,INCLUDING VENTURE CAPITAL OR BUSINESS ANGELS,,,,INCLUDING VENTURE CAPITAL OR BUSINESS ANGELS,,,,
475,answer,Q20,4,EC,,See the note to Q4_i,,,,,,,,,,,,,,,,,,,,,,"- Subordinated loans, participating loans, preferred stocks or similar financing instruments",,,,"- Subordinated loans, participating loans, preferred stocks or similar financing instruments",,,,"- Subordinated loans, participation loans or similar financing instruments"
476,answer,Q20,5,EC,,,,- Other,,- Other,,- Other,,- Other,,- Other,,- Other,,- Other,,- Other,,- Other,,- Other,,- Other,,,,- Other,,,,- Other
477,answer,Q20,9,EC,,,,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,,,- [DK/NA],,,,- [DK/NA]
478,question,Q21,,EC,,,,"Q21. If you need external financing to realise your growth ambitions over the next two to three years [READ IF NECESSARY: that is, <year> to <year>], what amount of financing would you aim to obtain?",,"Q21. If you need external financing to realise your growth ambitions over the next two to three years [READ IF NECESSARY: that is, <year> to <year>], what amount of financing would you aim to obtain?",,"Q21. If you need external financing to realise your growth ambitions over the next two to three years [READ IF NECESSARY: that is, <year> to <year>], what amount of financing would you aim to obtain?",,"Q21. If you need external financing to realise your growth ambitions over the next two to three years [READ IF NECESSARY: that is, <year> to <year>], what amount of financing would you aim to obtain?",,"Q21. If you need external financing to realise your growth ambitions over the next two to three years [READ IF NECESSARY: that is, <year> to <year>], what amount of financing would you aim to obtain?",,"Q21. If you need external financing to realise your growth ambitions over the next two to three years [READ IF NECESSARY: that is, <year> to <year>], what amount of financing would you aim to obtain?",,"Q21. If you need external financing to realise your growth ambitions over the next two to three years [READ IF NECESSARY: that is, <year> to <year>], what amount of financing would you aim to obtain?",,"Q21. If you need external financing to realise your growth ambitions over the next two to three years [READ IF NECESSARY: that is, <year> to <year>], what amount of financing would you aim to obtain?",,"Q21. If you need external financing to realise your growth ambitions over the next two to three years [READ IF NECESSARY: that is, <year> to <year>], what amount of financing would you aim to obtain?",,"Q21. If you need external financing to realise your growth ambitions, what amount of financing would you aim to obtain?",,Q21. And what amount of financing would you aim to obtain?,,,,Q21. And what amount of financing would you aim to obtain?,,,,Q21. And what amount of financing would you aim to obtain?
479,answer,Q21,1,EC,,,,"- up to €25,000",,"- up to €25,000",,"- up to €25,000",,"- up to €25,000",,"- up to €25,000",,"- up to €25,000",,"- up to €25,000",,"- up to €25,000",,"- up to €25,000",,"- Up to €25,000",,"- Smaller than €25,000",,,,"- Smaller than €25,000",,,,- Less than 25 000 Euros
480,answer,Q21,2,EC,,,,"- more than €25,000 and up to €100,000",,"- more than €25,000 and up to €100,000",,"- more than €25,000 and up to €100,000",,"- more than €25,000 and up to €100,000",,"- more than €25,000 and up to €100,000",,"- more than €25,000 and up to €100,000",,"- more than €25,000 and up to €100,000",,"- more than €25,000 and up to €100,000",,"- more than €25,000 and up to €100,000",,"- More than €25,000 and up to €100,000",,"- €25,000- €99,999",,,,"- €25,000- €99,999",,,,- 25 000 – 100 000 Euros
481,answer,Q21,3,EC,,"In round 2013H1, category “€100,000 - €1 million” was split into “€100,000 - €249,999” and “€250,000 - €1 million” in questions Q12 and Q21.",,,,,,,,,,,,,,,,,,,,,,,,,,"- €100,000 - €1 million",,,,- 100 000 – 1 000 000 Euros
482,answer,Q21,5,EC,,,,"- more than €100,000 and up to €250,000",,"- more than €100,000 and up to €250,000",,"- more than €100,000 and up to €250,000",,"- more than €100,000 and up to €250,000",,"- more than €100,000 and up to €250,000",,"- more than €100,000 and up to €250,000",,"- more than €100,000 and up to €250,000",,"- more than €100,000 and up to €250,000",,"- more than €100,000 and up to €250,000",,"- More than €100,000 and up to €250,000",,"- €100,000 - €249,999",,,,,,,,
483,answer,Q21,6,EC,,,,"- more than €250,000 and up to €1 million",,"- more than €250,000 and up to €1 million",,"- more than €250,000 and up to €1 million",,"- more than €250,000 and up to €1 million",,"- more than €250,000 and up to €1 million",,"- more than €250,000 and up to €1 million",,"- more than €250,000 and up to €1 million",,"- more than €250,000 and up to €1 million",,"- more than €250,000 and up to €1 million",,"- More than €250,000 and up to €1 million",,"- €250,000 - €1 million",,,,,,,,
484,answer,Q21,4,EC,,,,- over €1 million,,- over €1 million,,- over €1 million,,- over €1 million,,- over €1 million,,- over €1 million,,- over €1 million,,- over €1 million,,- over €1 million,,- Over €1 million,,- Over €1 million,,,,- Over €1 million,,,,- Over 1 000 000 Euros
485,answer,Q21,9,EC,,,,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,- [DK/NA],,,,- [DK/NA],,,,- [DK/NA]
486,question,Q22,,EC,,See the note to Q4_i,,Q22. What do you see as the most important limiting factor to get this financing?,,Q22. What do you see as the most important limiting factor to get this financing?,,Q22. What do you see as the most important limiting factor to get this financing?,,Q22. What do you see as the most important limiting factor to get this financing?,,Q22. What do you see as the most important limiting factor to get this financing?,,Q22. What do you see as the most important limiting factor to get this financing?,,Q22. What do you see as the most important limiting factor to get this financing?,,Q22. What do you see as the most important limiting factor to get this financing?,,Q22. What do you see as the most important limiting factor to get this financing?,,Q22. What do you see as the most important limiting factor to get this financing?,,Q22. What do you see as the most important limiting factor to get this financing?,,,,Q22. What do you see as the most important limiting factor to get this financing?,,,,Q22. What do you see as the most important limiting factor to get this financing?
